"大类","类型","CCF分级","川大分级","简称","全称"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","D","TOCS","ACM Transactions on Computer Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","D","TOS","ACM Transactions on Storage"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","C","TCAD","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","C","TC","IEEE Transactions on Computers"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","C","TPDS","IEEE Transactions on Parallel and Distributed Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","D","TACO","ACM Transactions on Architecture and Code Optimization"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","TAAS","ACM Transactions on Autonomous and Adaptive Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","E","TODAES","ACM Transactions on Design Automation of Electronic Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","TECS","ACM Transactions on Embedded Computing Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","E","TRETS","ACM Transactions on Reconfigurable Technology and Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","C","TVLSI","IEEE Transactions on Very Large Scale Integration (VLSI) Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","JPDC","Journal of Parallel and Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","JSA","Journal of Systems Architecture: Embedded Software Design"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","","Parallel Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","","Performance Evaluation: An International Journal"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","C","TCC","IEEE Transactions on Cloud Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","JETC","ACM Journal on Emerging Technologies in Computing Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","","Concurrency and Computation: Practice and Experience"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","D","DC","Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","B","FGCS","Future Generation Computer Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","D","Integration","Integration, the VLSI Journal"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","JETTA","Journal of Electronic Testing-Theory and Applications"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","D","JGC","Journal of Grid computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","C","RTS","Real-Time Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","TJSC","The Journal of Supercomputing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","B","TCASI","IEEE Transactions on Circuits and Systems I: Regular Papers"
"计算机体系结构/并行与分布计算/存储系统","期刊","C",,"CCF-THPC","CCF Transactions on High Performance Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C",,"TSUSC","IEEE Transactions on Sustainable Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"PPoPP","ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"FAST","USENIX Conference on File and Storage Technologies"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"DAC","Design Automation Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"HPCA","IEEE International Symposium on High Performance Computer Architecture"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"MICRO","IEEE/ACM International Symposium on Microarchitecture"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"SC","International Conference for High Performance Computing, Networking, Storage, and Analysis"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"ASPLOS","International Conference on Architectural Support for Programming Languages and Operating Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"ISCA","International Symposium on Computer Architecture"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"ACM SIGOPS ATC （原USENIX ATC）","ACM SIGOPS Annual Technical Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"EuroSys","European Conference on Computer Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"HPDC","The International ACM Symposium on High-Performance Parallel and Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"SoCC","ACM Symposium on Cloud Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"SPAA","ACM Symposium on Parallelism in Algorithms and Architectures"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"PODC","ACM Symposium on Principles of Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"FPGA","ACM/SIGDA International Symposium on Field-Programmable Gate Arrays"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"CGO","The International Symposium on Code Generation and Optimization"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"DATE","Design, Automation & Test in Europe"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"HOT CHIPS","Hot Chips: A Symposium on High Performance Chips"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"CLUSTER","IEEE International Conference on Cluster Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICCD","International Conference on Computer Design"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICCAD","International Conference on Computer-Aided Design"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICDCS","IEEE International Conference on Distributed Computing Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"CODES+ ISSS","International Conference on Hardware/Software Co-design and System Synthesis"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"HiPEAC","International Conference on High Performance and Embedded Architectures and Compilers"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"SIG-METRICS","International Conference on Measurement and Modeling of Computer Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"PACT","International Conference on Parallel Architectures and Compilation Techniques"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICPP","International Conference on Parallel Processing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICS","International Conference on Supercomputing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"VEE","International Conference on Virtual Execution Environments"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"IPDPS","IEEE International Parallel & Distributed Processing Symposium"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"Performance","International Symposium on Computer Performance, Modeling, Measurements and Evaluation"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ITC","International Test Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"LISA","Large Installation System Administration Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"MSST","Mass Storage Systems and Technologies"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"RTAS","IEEE Real-Time and Embedded Technology and Applications Symposium"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"Euro-Par","European Conference on Parallel and Distributed Computing Springer"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ISCAS","IEEE International Symposium on Circuits and Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"CF","ACM International Conference on Computing Frontiers"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"SYSTOR","ACM International Systems and Storage Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"NOCS","ACM/IEEE International Symposium on Networks-on-Chip"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ASAP","IEEE International Conference on Application-Specific Systems, Architectures, and Processors"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ASP-DAC","Asia and South Pacific Design Automation Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ETS","IEEE European Test Symposium"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"FPL","International Conference on Field-Programmable Logic and Applications"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"FCCM","IEEE Symposium on Field-Programmable Custom Computing Machines"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"GLSVLSI","Great Lakes Symposium on VLSI"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ATS","IEEE Asian Test Symposium"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"HPCC","IEEE International Conference on High Performance Computing and Communications"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"HiPC","IEEE International Conference on High Performance Computing, Data and Analytics"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"MASCOTS","International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ISPA","IEEE International Symposium on Parallel and Distributed Processing with Applications"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"CCGRID","IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"NPC","IFIP International Conference on Network and Parallel Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ICA3PP","International Conference on Algorithms and Architectures for Parallel Processing"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"CASES","International Conference on Compilers, Architectures, and Synthesis for Embedded Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"FPT","International Conference on Field-Programmable Technology"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ICPADS","International Conference on Parallel and Distributed Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ISLPED","International Symposium on Low Power Electronics and Design"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ISPD","International Symposium on Physical Design"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"HOTI","IEEE Symposium on High-Performance Interconnects"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"VTS","IEEE VLSI Test Symposium"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"ITC-Asia","International Test Conference in Asia"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"SEC","ACM/IEEE Symposium on Edge Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"NAS","International Conference on Networking, Architecture and Storages"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"HotStorage","HotStorage"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"APPT","International Symposium on Advanced Parallel Processing Technology"
"计算机体系结构/并行与分布计算/存储系统","会议","C",,"JCC","International Conference on JointCloud Computing"
"计算机网络","期刊","A","B","JSAC","IEEE Journal on Selected Areas in Communications"
"计算机网络","期刊","A","C","TMC","IEEE Transactions on Mobile Computing"
"计算机网络","期刊","A","C","TON","IEEE Transactions on Networking （原 IEEE/ACM Transactions on Networking）"
"计算机网络","期刊","B","D","TOIT","ACM Transactions on Internet Technology"
"计算机网络","期刊","B","D","TOMM","ACM Transactions on Multimedia Computing, Communications and Applications"
"计算机网络","期刊","B","D","TOSN","ACM Transactions on Sensor Networks"
"计算机网络","期刊","B","D","CN","Computer Networks"
"计算机网络","期刊","B","B","TCOM","IEEE Transactions on Communications"
"计算机网络","期刊","B","B","TWC","IEEE Transactions on Wireless Communications"
"计算机网络","期刊","C","C","","Ad Hoc Networks"
"计算机网络","期刊","C","D","CC","Computer Communications"
"计算机网络","期刊","C","C","TNSM","IEEE Transactions on Network and Service Management"
"计算机网络","期刊","C","E","","IET Communications"
"计算机网络","期刊","C","C","JNCA","Journal of Network and Computer Applications"
"计算机网络","期刊","C","E","MONET","Mobile Networks and Applications"
"计算机网络","期刊","C","E","","Networks"
"计算机网络","期刊","C","D","PPNA","Peer-to-Peer Networking and Applications"
"计算机网络","期刊","C","E","WCMC","Wireless Communications and Mobile Computing"
"计算机网络","期刊","C","E","","Wireless Networks"
"计算机网络","期刊","C","B","IOT","IEEE Internet of Things Journal"
"计算机网络","期刊","C",,"TIOT","ACM Transactions on Internet of Things"
"计算机网络","会议","A",,"SIGCOMM","ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication"
"计算机网络","会议","A",,"MobiCom","ACM International Conference on Mobile Computing and Networking"
"计算机网络","会议","A",,"INFOCOM","IEEE International Conference on Computer Communications"
"计算机网络","会议","A",,"NSDI","Symposium on Network System Design and Implementation"
"计算机网络","会议","B",,"SenSys","ACM Conference on Embedded Networked Sensor Systems"
"计算机网络","会议","B",,"CoNEXT","ACM International Conference on Emerging Networking Experiments and Technologies"
"计算机网络","会议","B",,"SECON","IEEE International Conference on Sensing, Communication, and Networking"
"计算机网络","会议","B",,"IPSN","International Conference on Information Processing in Sensor Networks"
"计算机网络","会议","B",,"MobiSys","ACM International Conference on Mobile Systems, Applications,  and Services"
"计算机网络","会议","B",,"ICNP","IEEE International Conference on Network Protocols"
"计算机网络","会议","B",,"MobiHoc","International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing"
"计算机网络","会议","B",,"NOSSDAV","International Workshop on Network and Operating System Support for Digital Audio and Video"
"计算机网络","会议","B",,"IWQoS","IEEE/ACM International Workshop on Quality of Service"
"计算机网络","会议","B",,"IMC","ACM Internet Measurement Conference"
"计算机网络","会议","C",,"ANCS","ACM/IEEE Symposium on Architectures for Networking and Communication Systems"
"计算机网络","会议","C",,"APNOMS","Asia-Pacific Network Operations and Management Symposium"
"计算机网络","会议","C",,"FORTE","International Conference on Formal Techniques for Distributed  Objects, Components, and Systems"
"计算机网络","会议","C",,"LCN","IEEE Conference on Local Computer Networks"
"计算机网络","会议","C",,"GLOBECOM","IEEE Global Communications Conference"
"计算机网络","会议","C",,"ICC","IEEE International Conference on Communications"
"计算机网络","会议","C",,"ICCCN","IEEE International Conference on Computer Communications and Networks"
"计算机网络","会议","C",,"MASS","IEEE International Conference on Mobile Adhoc and Sensor Systems"
"计算机网络","会议","C",,"P2P","IEEE International Conference on Peer-to-Peer Computing"
"计算机网络","会议","C",,"IPCCC","IEEE International Performance Computing and Communications Conference"
"计算机网络","会议","C",,"WoWMoM","IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks"
"计算机网络","会议","C",,"ISCC","IEEE Symposium on Computers and Communications"
"计算机网络","会议","C",,"WCNC","IEEE Wireless Communications and Networking Conference"
"计算机网络","会议","C",,"Networking","IFIP International Conferences on Networking"
"计算机网络","会议","C",,"IM","IFIP/IEEE International Symposium on Integrated Network Management"
"计算机网络","会议","C",,"MSN","International Conference on Mobility, Sensing and Networking"
"计算机网络","会议","C",,"MSWiM","International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems"
"计算机网络","会议","C",,"WASA","The International Conference on Wireless Artificial Intelligent Computing Systems and Applications"
"计算机网络","会议","C",,"HotNets","ACM The Workshop on Hot Topics in Networks"
"计算机网络","会议","C",,"APNet","Asia-Pacific Workshop on Networking"
"网络与信息安全","期刊","A","B","TDSC","IEEE Transactions on Dependable and Secure Computing"
"网络与信息安全","期刊","A","B","TIFS","IEEE Transactions on Information Forensics and Security"
"网络与信息安全","期刊","A","D","","Journal of Cryptology"
"网络与信息安全","期刊","B","C","TOPS","ACM Transactions on Privacy and Security"
"网络与信息安全","期刊","B","C","","Computers & Security"
"网络与信息安全","期刊","B","C","","Designs, Codes and Cryptography"
"网络与信息安全","期刊","B",,"JCS","Journal of Computer Security"
"网络与信息安全","期刊","B",,"Cybersecurity","Cybersecurity"
"网络与信息安全","期刊","C",,"CLSR","Computer Law & Security Review"
"网络与信息安全","期刊","C",,"","EURASIP Journal on Information Security"
"网络与信息安全","期刊","C","E","","IET Information Security"
"网络与信息安全","期刊","C",,"IMCS","Information and Computer Security"
"网络与信息安全","期刊","C",,"IJICS","International Journal of Information and Computer Security"
"网络与信息安全","期刊","C",,"IJISP","International Journal of Information Security and Privacy"
"网络与信息安全","期刊","C","E","JISA","Journal of Information Security and Applications"
"网络与信息安全","期刊","C","E","SCN","Security and Communication Networks"
"网络与信息安全","期刊","C",,"HCC","High-Confidence Computing"
"网络与信息安全","会议","A",,"CCS","ACM Conference on Computer and Communications Security"
"网络与信息安全","会议","A",,"EUROCRYPT","International Conference on the Theory and Applications of  Cryptographic Techniques"
"网络与信息安全","会议","A",,"S&P","IEEE Symposium on Security and Privacy"
"网络与信息安全","会议","A",,"CRYPTO","International Cryptology Conference"
"网络与信息安全","会议","A",,"USENIX Security","USENIX Security Symposium"
"网络与信息安全","会议","A",,"NDSS","Network and Distributed System Security Symposium"
"网络与信息安全","会议","B",,"ACSAC","Annual Computer Security Applications Conference"
"网络与信息安全","会议","B",,"ASIACRYPT","Annual International Conference on the Theory and Application of Cryptology and Information Security"
"网络与信息安全","会议","B",,"ESORICS","European Symposium on Research in Computer Security"
"网络与信息安全","会议","B",,"FSE","Fast Software Encryption"
"网络与信息安全","会议","B",,"CSFW","IEEE Computer Security Foundations Workshop"
"网络与信息安全","会议","B",,"SRDS","IEEE International Symposium on Reliable Distributed Systems"
"网络与信息安全","会议","B",,"CHES","International Conference on Cryptographic Hardware and Embedded Systems"
"网络与信息安全","会议","B",,"DSN","International Conference on Dependable Systems and Networks"
"网络与信息安全","会议","B",,"RAID","International Symposium on Recent Advances in Intrusion Detection"
"网络与信息安全","会议","B",,"PKC","International Workshop on Practice and Theory in Public Key Cryptography"
"网络与信息安全","会议","B",,"TCC","Theory of Cryptography Conference"
"网络与信息安全","会议","C",,"WiSec","ACM Conference on Security and Privacy in Wireless and Mobile Networks"
"网络与信息安全","会议","C",,"SACMAT","ACM Symposium on Access Control Models and Technologies"
"网络与信息安全","会议","C",,"DRM","ACM Workshop on Digital Rights Management"
"网络与信息安全","会议","C",,"IH&MMSec","ACM Workshop on Information Hiding and Multimedia Security"
"网络与信息安全","会议","C",,"ACNS","International Conference on Applied Cryptography and Network Security"
"网络与信息安全","会议","C",,"AsiaCCS","ACM Asia Conference on Computer and Communications Security"
"网络与信息安全","会议","C",,"ACISP","Australasia Conference on Information Security and Privacy"
"网络与信息安全","会议","C",,"CT-RSA","The Cryptographer's Track at RSA Conference"
"网络与信息安全","会议","C",,"DIMVA","Conference on Detection of Intrusions and Malware & Vulnerability Assessment"
"网络与信息安全","会议","C",,"DFRWS","Digital Forensic Research Workshop"
"网络与信息安全","会议","C",,"FC","Financial Cryptography and Data Security"
"网络与信息安全","会议","C",,"TrustCom","IEEE International Conference on Trust, Security and Privacy in Computing and Communications"
"网络与信息安全","会议","C",,"SEC","IFIP International Information Security Conference"
"网络与信息安全","会议","C",,"IFIP WG 11.9","IFIP Working Group 11.9 International Conference on Digital Forensics"
"网络与信息安全","会议","C",,"ISC","Information Security Conference"
"网络与信息安全","会议","C",,"ICDF2C","International Conference on Digital Forensics & Cyber Crime"
"网络与信息安全","会议","C",,"ICICS","International Conference on Information and Communications Security"
"网络与信息安全","会议","C",,"SecureComm","International Conference on Security and Privacy in Communication Networks"
"网络与信息安全","会议","C",,"NSPW","New Security Paradigms Workshop"
"网络与信息安全","会议","C",,"PAM","Passive and Active Measurement Conference"
"网络与信息安全","会议","C",,"PETS","Privacy Enhancing Technologies Symposium"
"网络与信息安全","会议","C",,"SAC","Selected Areas in Cryptography"
"网络与信息安全","会议","C",,"SOUPS","Symposium On Usable Privacy and Security"
"网络与信息安全","会议","C",,"HotSec","USENIX Workshop on Hot Topics in Security"
"网络与信息安全","会议","C",,"EuroS&P","IEEE European Symposium on Security and Privacy"
"网络与信息安全","会议","C",,"Inscrypt","International Conference on Information Security and Cryptology"
"网络与信息安全","会议","C",,"CODASPY","Conference on Data and Application Security and Privacy"
